Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC3_VDPEdge_r
Temperature(C)= 22.5	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-3.000E-3
-9.500E-6	-3.150E-3
-9.000E-6	-3.280E-3
-8.500E-6	-3.290E-3
-8.000E-6	-3.180E-3
-7.500E-6	-2.970E-3
-7.000E-6	-2.630E-3
-6.500E-6	-2.260E-3
-6.000E-6	-2.220E-3
-5.500E-6	-2.250E-3
-5.000E-6	-2.230E-3
-4.500E-6	-2.160E-3
-4.000E-6	-2.060E-3
-3.500E-6	-1.860E-3
-3.000E-6	-1.560E-3
-2.500E-6	-1.180E-3
-2.000E-6	-990.000E-6
-1.500E-6	-900.000E-6
-1.000E-6	-810.000E-6
-500.000E-9	-490.000E-6
-1.694E-21	-300.000E-6
500.000E-9	-270.000E-6
1.000E-6	-140.000E-6
1.500E-6	-50.000E-6
2.000E-6	320.000E-6
2.500E-6	670.000E-6
3.000E-6	880.000E-6
3.500E-6	1.050E-3
4.000E-6	1.200E-3
4.500E-6	1.320E-3
5.000E-6	1.490E-3
5.500E-6	1.580E-3
6.000E-6	1.710E-3
6.500E-6	1.880E-3
7.000E-6	2.030E-3
7.500E-6	2.160E-3
8.000E-6	2.280E-3
8.500E-6	2.400E-3
9.000E-6	2.500E-3
9.500E-6	2.660E-3
10.000E-6	2.810E-3
