Extended_Flutes_09-Nov-20_2:01:59 PM	Left_PQC3_VDPEdge_r
Temperature(C)= 22.8	Humidity(%)= 8.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.650E-3
-9.500E-6	-2.640E-3
-9.000E-6	-2.580E-3
-8.500E-6	-2.490E-3
-8.000E-6	-2.360E-3
-7.500E-6	-2.230E-3
-7.000E-6	-2.090E-3
-6.500E-6	-1.960E-3
-6.000E-6	-1.830E-3
-5.500E-6	-1.690E-3
-5.000E-6	-1.560E-3
-4.500E-6	-1.430E-3
-4.000E-6	-1.300E-3
-3.500E-6	-1.160E-3
-3.000E-6	-1.030E-3
-2.500E-6	-900.000E-6
-2.000E-6	-760.000E-6
-1.500E-6	-630.000E-6
-1.000E-6	-500.000E-6
-500.000E-9	-370.000E-6
-1.694E-21	-230.000E-6
500.000E-9	-150.000E-6
1.000E-6	-10.000E-6
1.500E-6	130.000E-6
2.000E-6	270.000E-6
2.500E-6	370.000E-6
3.000E-6	510.000E-6
3.500E-6	660.000E-6
4.000E-6	800.000E-6
4.500E-6	950.000E-6
5.000E-6	1.080E-3
5.500E-6	1.210E-3
6.000E-6	1.350E-3
6.500E-6	1.480E-3
7.000E-6	1.610E-3
7.500E-6	1.740E-3
8.000E-6	1.880E-3
8.500E-6	2.010E-3
9.000E-6	2.140E-3
9.500E-6	2.270E-3
10.000E-6	2.410E-3
