Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC3_VDPEdge_s
Temperature(C)= 20.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.590E-3
-9.500E-6	-2.590E-3
-9.000E-6	-2.540E-3
-8.500E-6	-2.450E-3
-8.000E-6	-2.320E-3
-7.500E-6	-2.180E-3
-7.000E-6	-2.040E-3
-6.500E-6	-1.910E-3
-6.000E-6	-1.840E-3
-5.500E-6	-1.690E-3
-5.000E-6	-1.550E-3
-4.500E-6	-1.460E-3
-4.000E-6	-1.300E-3
-3.500E-6	-1.160E-3
-3.000E-6	-1.010E-3
-2.500E-6	-870.000E-6
-2.000E-6	-740.000E-6
-1.500E-6	-610.000E-6
-1.000E-6	-480.000E-6
-500.000E-9	-350.000E-6
-1.694E-21	-220.000E-6
500.000E-9	-90.000E-6
1.000E-6	30.000E-6
1.500E-6	160.000E-6
2.000E-6	290.000E-6
2.500E-6	420.000E-6
3.000E-6	550.000E-6
3.500E-6	680.000E-6
4.000E-6	810.000E-6
4.500E-6	940.000E-6
5.000E-6	1.070E-3
5.500E-6	1.150E-3
6.000E-6	1.300E-3
6.500E-6	1.440E-3
7.000E-6	1.580E-3
7.500E-6	1.730E-3
8.000E-6	1.860E-3
8.500E-6	1.990E-3
9.000E-6	2.120E-3
9.500E-6	2.190E-3
10.000E-6	2.340E-3
