Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 23.3	Humidity(%)= 9.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.410E-3
-9.500E-6	-32.410E-3
-9.000E-6	-31.770E-3
-8.500E-6	-30.640E-3
-8.000E-6	-29.670E-3
-7.500E-6	-28.390E-3
-7.000E-6	-26.450E-3
-6.500E-6	-25.170E-3
-6.000E-6	-23.880E-3
-5.500E-6	-21.620E-3
-5.000E-6	-19.670E-3
-4.500E-6	-18.380E-3
-4.000E-6	-16.430E-3
-3.500E-6	-15.300E-3
-3.000E-6	-14.000E-3
-2.500E-6	-11.890E-3
-2.000E-6	-10.590E-3
-1.500E-6	-8.470E-3
-1.000E-6	-6.510E-3
-500.000E-9	-4.720E-3
-1.694E-21	-2.930E-3
500.000E-9	-1.950E-3
1.000E-6	-810.000E-6
1.500E-6	1.140E-3
2.000E-6	2.440E-3
2.500E-6	3.750E-3
3.000E-6	6.040E-3
3.500E-6	8.010E-3
4.000E-6	10.010E-3
4.500E-6	11.800E-3
5.000E-6	13.470E-3
5.500E-6	15.110E-3
6.000E-6	16.760E-3
6.500E-6	18.390E-3
7.000E-6	20.030E-3
7.500E-6	21.020E-3
8.000E-6	22.180E-3
8.500E-6	24.180E-3
9.000E-6	26.180E-3
9.500E-6	28.160E-3
10.000E-6	29.310E-3
