Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC3_VDPEdge_s
Temperature(C)= 20.3	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.730E-3
-9.500E-6	-2.730E-3
-9.000E-6	-2.680E-3
-8.500E-6	-2.620E-3
-8.000E-6	-2.490E-3
-7.500E-6	-2.320E-3
-7.000E-6	-2.230E-3
-6.500E-6	-2.060E-3
-6.000E-6	-1.910E-3
-5.500E-6	-1.810E-3
-5.000E-6	-1.650E-3
-4.500E-6	-1.500E-3
-4.000E-6	-1.350E-3
-3.500E-6	-1.260E-3
-3.000E-6	-1.100E-3
-2.500E-6	-1.010E-3
-2.000E-6	-840.000E-6
-1.500E-6	-680.000E-6
-1.000E-6	-530.000E-6
-500.000E-9	-380.000E-6
-1.694E-21	-240.000E-6
500.000E-9	-100.000E-6
1.000E-6	30.000E-6
1.500E-6	160.000E-6
2.000E-6	300.000E-6
2.500E-6	430.000E-6
3.000E-6	570.000E-6
3.500E-6	710.000E-6
4.000E-6	840.000E-6
4.500E-6	980.000E-6
5.000E-6	1.120E-3
5.500E-6	1.200E-3
6.000E-6	1.350E-3
6.500E-6	1.500E-3
7.000E-6	1.600E-3
7.500E-6	1.760E-3
8.000E-6	1.910E-3
8.500E-6	2.060E-3
9.000E-6	2.210E-3
9.500E-6	2.350E-3
10.000E-6	2.430E-3
