Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 22.7	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.350E-3
-9.500E-6	-2.340E-3
-9.000E-6	-2.280E-3
-8.500E-6	-2.230E-3
-8.000E-6	-2.100E-3
-7.500E-6	-1.950E-3
-7.000E-6	-1.810E-3
-6.500E-6	-1.710E-3
-6.000E-6	-1.570E-3
-5.500E-6	-1.420E-3
-5.000E-6	-1.330E-3
-4.500E-6	-1.170E-3
-4.000E-6	-1.020E-3
-3.500E-6	-880.000E-6
-3.000E-6	-730.000E-6
-2.500E-6	-600.000E-6
-2.000E-6	-470.000E-6
-1.500E-6	-330.000E-6
-1.000E-6	-200.000E-6
-500.000E-9	-70.000E-6
-1.694E-21	50.000E-6
500.000E-9	190.000E-6
1.000E-6	320.000E-6
1.500E-6	400.000E-6
2.000E-6	550.000E-6
2.500E-6	690.000E-6
3.000E-6	840.000E-6
3.500E-6	980.000E-6
4.000E-6	1.120E-3
4.500E-6	1.200E-3
5.000E-6	1.340E-3
5.500E-6	1.490E-3
6.000E-6	1.630E-3
6.500E-6	1.780E-3
7.000E-6	1.910E-3
7.500E-6	1.990E-3
8.000E-6	2.140E-3
8.500E-6	2.230E-3
9.000E-6	2.390E-3
9.500E-6	2.550E-3
10.000E-6	2.640E-3
