Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 20.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.360E-3
-9.500E-6	-32.360E-3
-9.000E-6	-31.720E-3
-8.500E-6	-31.070E-3
-8.000E-6	-29.470E-3
-7.500E-6	-27.540E-3
-7.000E-6	-25.770E-3
-6.500E-6	-24.000E-3
-6.000E-6	-23.030E-3
-5.500E-6	-21.250E-3
-5.000E-6	-20.120E-3
-4.500E-6	-18.190E-3
-4.000E-6	-16.250E-3
-3.500E-6	-15.110E-3
-3.000E-6	-13.820E-3
-2.500E-6	-11.870E-3
-2.000E-6	-9.920E-3
-1.500E-6	-7.970E-3
-1.000E-6	-6.180E-3
-500.000E-9	-4.560E-3
-1.694E-21	-2.930E-3
500.000E-9	-1.300E-3
1.000E-6	320.000E-6
1.500E-6	1.960E-3
2.000E-6	3.590E-3
2.500E-6	5.220E-3
3.000E-6	6.860E-3
3.500E-6	8.500E-3
4.000E-6	10.140E-3
4.500E-6	11.780E-3
5.000E-6	13.430E-3
5.500E-6	15.070E-3
6.000E-6	16.710E-3
6.500E-6	17.700E-3
7.000E-6	19.510E-3
7.500E-6	21.320E-3
8.000E-6	23.140E-3
8.500E-6	24.950E-3
9.000E-6	25.940E-3
9.500E-6	27.100E-3
10.000E-6	28.420E-3
