Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC3_VDPEdge_s
Temperature(C)= 19.0	Humidity(%)= 8.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.710E-3
-9.500E-6	-2.710E-3
-9.000E-6	-2.660E-3
-8.500E-6	-2.600E-3
-8.000E-6	-2.520E-3
-7.500E-6	-2.410E-3
-7.000E-6	-2.220E-3
-6.500E-6	-2.050E-3
-6.000E-6	-1.880E-3
-5.500E-6	-1.740E-3
-5.000E-6	-1.600E-3
-4.500E-6	-1.460E-3
-4.000E-6	-1.330E-3
-3.500E-6	-1.190E-3
-3.000E-6	-1.060E-3
-2.500E-6	-920.000E-6
-2.000E-6	-790.000E-6
-1.500E-6	-650.000E-6
-1.000E-6	-570.000E-6
-500.000E-9	-420.000E-6
-1.694E-21	-270.000E-6
500.000E-9	-130.000E-6
1.000E-6	10.000E-6
1.500E-6	150.000E-6
2.000E-6	230.000E-6
2.500E-6	380.000E-6
3.000E-6	530.000E-6
3.500E-6	680.000E-6
4.000E-6	830.000E-6
4.500E-6	960.000E-6
5.000E-6	1.040E-3
5.500E-6	1.140E-3
6.000E-6	1.300E-3
6.500E-6	1.460E-3
7.000E-6	1.630E-3
7.500E-6	1.770E-3
8.000E-6	1.910E-3
8.500E-6	1.990E-3
9.000E-6	2.140E-3
9.500E-6	2.290E-3
10.000E-6	2.440E-3
