Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 23.3	Humidity(%)= 9.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.610E-3
-9.500E-6	-2.610E-3
-9.000E-6	-2.570E-3
-8.500E-6	-2.500E-3
-8.000E-6	-2.380E-3
-7.500E-6	-2.200E-3
-7.000E-6	-2.070E-3
-6.500E-6	-1.970E-3
-6.000E-6	-1.820E-3
-5.500E-6	-1.680E-3
-5.000E-6	-1.530E-3
-4.500E-6	-1.440E-3
-4.000E-6	-1.310E-3
-3.500E-6	-1.150E-3
-3.000E-6	-980.000E-6
-2.500E-6	-830.000E-6
-2.000E-6	-710.000E-6
-1.500E-6	-590.000E-6
-1.000E-6	-460.000E-6
-500.000E-9	-380.000E-6
-1.694E-21	-230.000E-6
500.000E-9	-130.000E-6
1.000E-6	20.000E-6
1.500E-6	180.000E-6
2.000E-6	320.000E-6
2.500E-6	470.000E-6
3.000E-6	600.000E-6
3.500E-6	740.000E-6
4.000E-6	870.000E-6
4.500E-6	1.000E-3
5.000E-6	1.130E-3
5.500E-6	1.270E-3
6.000E-6	1.350E-3
6.500E-6	1.440E-3
7.000E-6	1.600E-3
7.500E-6	1.760E-3
8.000E-6	1.920E-3
8.500E-6	2.060E-3
9.000E-6	2.140E-3
9.500E-6	2.290E-3
10.000E-6	2.380E-3
