Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 22.7	Humidity(%)= 8.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.750E-3
-9.500E-6	-2.730E-3
-9.000E-6	-2.680E-3
-8.500E-6	-2.620E-3
-8.000E-6	-2.480E-3
-7.500E-6	-2.330E-3
-7.000E-6	-2.180E-3
-6.500E-6	-2.080E-3
-6.000E-6	-1.930E-3
-5.500E-6	-1.830E-3
-5.000E-6	-1.670E-3
-4.500E-6	-1.560E-3
-4.000E-6	-1.400E-3
-3.500E-6	-1.230E-3
-3.000E-6	-1.080E-3
-2.500E-6	-930.000E-6
-2.000E-6	-790.000E-6
-1.500E-6	-650.000E-6
-1.000E-6	-510.000E-6
-500.000E-9	-380.000E-6
-1.694E-21	-240.000E-6
500.000E-9	-160.000E-6
1.000E-6	-0.000E+0
1.500E-6	140.000E-6
2.000E-6	230.000E-6
2.500E-6	400.000E-6
3.000E-6	550.000E-6
3.500E-6	700.000E-6
4.000E-6	850.000E-6
4.500E-6	990.000E-6
5.000E-6	1.130E-3
5.500E-6	1.270E-3
6.000E-6	1.400E-3
6.500E-6	1.540E-3
7.000E-6	1.680E-3
7.500E-6	1.820E-3
8.000E-6	1.900E-3
8.500E-6	2.050E-3
9.000E-6	2.200E-3
9.500E-6	2.300E-3
10.000E-6	2.410E-3
