Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC3_VDPEdge_r
Temperature(C)= 20.8	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.610E-3
-9.500E-6	-2.590E-3
-9.000E-6	-2.540E-3
-8.500E-6	-2.450E-3
-8.000E-6	-2.320E-3
-7.500E-6	-2.240E-3
-7.000E-6	-2.100E-3
-6.500E-6	-1.950E-3
-6.000E-6	-1.810E-3
-5.500E-6	-1.660E-3
-5.000E-6	-1.530E-3
-4.500E-6	-1.400E-3
-4.000E-6	-1.270E-3
-3.500E-6	-1.140E-3
-3.000E-6	-1.010E-3
-2.500E-6	-880.000E-6
-2.000E-6	-750.000E-6
-1.500E-6	-620.000E-6
-1.000E-6	-490.000E-6
-500.000E-9	-360.000E-6
-1.694E-21	-230.000E-6
500.000E-9	-100.000E-6
1.000E-6	30.000E-6
1.500E-6	160.000E-6
2.000E-6	290.000E-6
2.500E-6	420.000E-6
3.000E-6	550.000E-6
3.500E-6	680.000E-6
4.000E-6	810.000E-6
4.500E-6	940.000E-6
5.000E-6	1.070E-3
5.500E-6	1.200E-3
6.000E-6	1.330E-3
6.500E-6	1.410E-3
7.000E-6	1.550E-3
7.500E-6	1.690E-3
8.000E-6	1.790E-3
8.500E-6	1.890E-3
9.000E-6	2.050E-3
9.500E-6	2.150E-3
10.000E-6	2.260E-3
