Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC3_VDPEdge_s
Temperature(C)= 19.8	Humidity(%)= 8.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.560E-3
-9.500E-6	-2.560E-3
-9.000E-6	-2.510E-3
-8.500E-6	-2.420E-3
-8.000E-6	-2.280E-3
-7.500E-6	-2.190E-3
-7.000E-6	-2.100E-3
-6.500E-6	-1.940E-3
-6.000E-6	-1.790E-3
-5.500E-6	-1.630E-3
-5.000E-6	-1.490E-3
-4.500E-6	-1.360E-3
-4.000E-6	-1.270E-3
-3.500E-6	-1.180E-3
-3.000E-6	-1.030E-3
-2.500E-6	-870.000E-6
-2.000E-6	-720.000E-6
-1.500E-6	-570.000E-6
-1.000E-6	-490.000E-6
-500.000E-9	-350.000E-6
-1.694E-21	-200.000E-6
500.000E-9	-60.000E-6
1.000E-6	80.000E-6
1.500E-6	210.000E-6
2.000E-6	340.000E-6
2.500E-6	470.000E-6
3.000E-6	600.000E-6
3.500E-6	730.000E-6
4.000E-6	860.000E-6
4.500E-6	990.000E-6
5.000E-6	1.120E-3
5.500E-6	1.260E-3
6.000E-6	1.390E-3
6.500E-6	1.520E-3
7.000E-6	1.650E-3
7.500E-6	1.780E-3
8.000E-6	1.910E-3
8.500E-6	2.040E-3
9.000E-6	2.170E-3
9.500E-6	2.250E-3
10.000E-6	2.340E-3
