Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 21.8	Humidity(%)= 8.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.340E-3
-9.500E-6	-34.170E-3
-9.000E-6	-33.490E-3
-8.500E-6	-32.810E-3
-8.000E-6	-31.110E-3
-7.500E-6	-29.910E-3
-7.000E-6	-27.870E-3
-6.500E-6	-26.500E-3
-6.000E-6	-24.450E-3
-5.500E-6	-22.390E-3
-5.000E-6	-20.510E-3
-4.500E-6	-19.310E-3
-4.000E-6	-17.420E-3
-3.500E-6	-15.530E-3
-3.000E-6	-13.640E-3
-2.500E-6	-11.740E-3
-2.000E-6	-10.020E-3
-1.500E-6	-8.300E-3
-1.000E-6	-6.570E-3
-500.000E-9	-4.850E-3
-1.694E-21	-3.120E-3
500.000E-9	-2.080E-3
1.000E-6	-170.000E-6
1.500E-6	1.720E-3
2.000E-6	3.630E-3
2.500E-6	5.540E-3
3.000E-6	7.280E-3
3.500E-6	9.020E-3
4.000E-6	10.760E-3
4.500E-6	12.510E-3
5.000E-6	13.550E-3
5.500E-6	15.470E-3
6.000E-6	17.390E-3
6.500E-6	19.320E-3
7.000E-6	21.240E-3
7.500E-6	22.990E-3
8.000E-6	24.750E-3
8.500E-6	25.800E-3
9.000E-6	27.730E-3
9.500E-6	29.660E-3
10.000E-6	30.890E-3
