Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 21.8	Humidity(%)= 8.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.470E-3
-9.500E-6	-2.460E-3
-9.000E-6	-2.410E-3
-8.500E-6	-2.310E-3
-8.000E-6	-2.230E-3
-7.500E-6	-2.060E-3
-7.000E-6	-1.910E-3
-6.500E-6	-1.760E-3
-6.000E-6	-1.610E-3
-5.500E-6	-1.480E-3
-5.000E-6	-1.340E-3
-4.500E-6	-1.200E-3
-4.000E-6	-1.070E-3
-3.500E-6	-980.000E-6
-3.000E-6	-830.000E-6
-2.500E-6	-680.000E-6
-2.000E-6	-530.000E-6
-1.500E-6	-380.000E-6
-1.000E-6	-240.000E-6
-500.000E-9	-100.000E-6
-1.694E-21	20.000E-6
500.000E-9	160.000E-6
1.000E-6	300.000E-6
1.500E-6	430.000E-6
2.000E-6	520.000E-6
2.500E-6	670.000E-6
3.000E-6	830.000E-6
3.500E-6	980.000E-6
4.000E-6	1.130E-3
4.500E-6	1.210E-3
5.000E-6	1.360E-3
5.500E-6	1.510E-3
6.000E-6	1.660E-3
6.500E-6	1.810E-3
7.000E-6	1.940E-3
7.500E-6	2.090E-3
8.000E-6	2.220E-3
8.500E-6	2.310E-3
9.000E-6	2.460E-3
9.500E-6	2.600E-3
10.000E-6	2.770E-3
