Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 22.1	Humidity(%)= 8.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.890E-3
-9.500E-6	-34.720E-3
-9.000E-6	-34.370E-3
-8.500E-6	-33.160E-3
-8.000E-6	-31.430E-3
-7.500E-6	-30.220E-3
-7.000E-6	-28.140E-3
-6.500E-6	-26.230E-3
-6.000E-6	-25.010E-3
-5.500E-6	-23.620E-3
-5.000E-6	-21.530E-3
-4.500E-6	-19.440E-3
-4.000E-6	-17.350E-3
-3.500E-6	-16.130E-3
-3.000E-6	-14.200E-3
-2.500E-6	-12.280E-3
-2.000E-6	-11.060E-3
-1.500E-6	-8.950E-3
-1.000E-6	-7.730E-3
-500.000E-9	-6.320E-3
-1.694E-21	-4.040E-3
500.000E-9	-2.640E-3
1.000E-6	-1.230E-3
1.500E-6	1.230E-3
2.000E-6	3.340E-3
2.500E-6	5.460E-3
3.000E-6	6.700E-3
3.500E-6	8.640E-3
4.000E-6	10.580E-3
4.500E-6	12.530E-3
5.000E-6	14.480E-3
5.500E-6	16.250E-3
6.000E-6	18.030E-3
6.500E-6	19.090E-3
7.000E-6	21.050E-3
7.500E-6	22.290E-3
8.000E-6	23.720E-3
8.500E-6	25.140E-3
9.000E-6	26.740E-3
9.500E-6	29.240E-3
10.000E-6	30.850E-3
