Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC3_VDPEdge_s
Temperature(C)= 22.2	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.470E-3
-9.500E-6	-2.470E-3
-9.000E-6	-2.420E-3
-8.500E-6	-2.320E-3
-8.000E-6	-2.180E-3
-7.500E-6	-2.080E-3
-7.000E-6	-1.930E-3
-6.500E-6	-1.780E-3
-6.000E-6	-1.630E-3
-5.500E-6	-1.480E-3
-5.000E-6	-1.390E-3
-4.500E-6	-1.300E-3
-4.000E-6	-1.130E-3
-3.500E-6	-1.020E-3
-3.000E-6	-840.000E-6
-2.500E-6	-680.000E-6
-2.000E-6	-530.000E-6
-1.500E-6	-370.000E-6
-1.000E-6	-290.000E-6
-500.000E-9	-140.000E-6
-1.694E-21	0.000E+0
500.000E-9	160.000E-6
1.000E-6	250.000E-6
1.500E-6	400.000E-6
2.000E-6	550.000E-6
2.500E-6	650.000E-6
3.000E-6	820.000E-6
3.500E-6	970.000E-6
4.000E-6	1.120E-3
4.500E-6	1.270E-3
5.000E-6	1.360E-3
5.500E-6	1.510E-3
6.000E-6	1.660E-3
6.500E-6	1.810E-3
7.000E-6	1.960E-3
7.500E-6	2.040E-3
8.000E-6	2.190E-3
8.500E-6	2.290E-3
9.000E-6	2.400E-3
9.500E-6	2.510E-3
10.000E-6	2.640E-3
