Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC3_VDPEdge_r
Temperature(C)= 23.6	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.570E-3
-9.500E-6	-2.560E-3
-9.000E-6	-2.540E-3
-8.500E-6	-2.470E-3
-8.000E-6	-2.370E-3
-7.500E-6	-2.230E-3
-7.000E-6	-2.090E-3
-6.500E-6	-1.950E-3
-6.000E-6	-1.820E-3
-5.500E-6	-1.680E-3
-5.000E-6	-1.530E-3
-4.500E-6	-1.410E-3
-4.000E-6	-1.290E-3
-3.500E-6	-1.180E-3
-3.000E-6	-1.070E-3
-2.500E-6	-970.000E-6
-2.000E-6	-830.000E-6
-1.500E-6	-690.000E-6
-1.000E-6	-530.000E-6
-500.000E-9	-400.000E-6
-1.694E-21	-260.000E-6
500.000E-9	-160.000E-6
1.000E-6	-60.000E-6
1.500E-6	-20.000E-6
2.000E-6	-150.000E-6
2.500E-6	20.000E-6
3.000E-6	170.000E-6
3.500E-6	600.000E-6
4.000E-6	820.000E-6
4.500E-6	950.000E-6
5.000E-6	1.080E-3
5.500E-6	1.210E-3
6.000E-6	1.340E-3
6.500E-6	1.480E-3
7.000E-6	1.600E-3
7.500E-6	1.690E-3
8.000E-6	1.830E-3
8.500E-6	1.920E-3
9.000E-6	2.070E-3
9.500E-6	2.210E-3
10.000E-6	2.340E-3
