Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 23.2	Humidity(%)= 8.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.710E-3
-9.500E-6	-2.700E-3
-9.000E-6	-2.670E-3
-8.500E-6	-2.580E-3
-8.000E-6	-2.490E-3
-7.500E-6	-2.320E-3
-7.000E-6	-2.160E-3
-6.500E-6	-2.010E-3
-6.000E-6	-1.850E-3
-5.500E-6	-1.720E-3
-5.000E-6	-1.630E-3
-4.500E-6	-1.540E-3
-4.000E-6	-1.370E-3
-3.500E-6	-1.210E-3
-3.000E-6	-1.040E-3
-2.500E-6	-890.000E-6
-2.000E-6	-750.000E-6
-1.500E-6	-620.000E-6
-1.000E-6	-480.000E-6
-500.000E-9	-340.000E-6
-1.694E-21	-200.000E-6
500.000E-9	-60.000E-6
1.000E-6	70.000E-6
1.500E-6	200.000E-6
2.000E-6	340.000E-6
2.500E-6	480.000E-6
3.000E-6	620.000E-6
3.500E-6	700.000E-6
4.000E-6	850.000E-6
4.500E-6	1.000E-3
5.000E-6	1.150E-3
5.500E-6	1.250E-3
6.000E-6	1.400E-3
6.500E-6	1.550E-3
7.000E-6	1.700E-3
7.500E-6	1.860E-3
8.000E-6	1.990E-3
8.500E-6	2.080E-3
9.000E-6	2.230E-3
9.500E-6	2.380E-3
10.000E-6	2.480E-3
