Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 23.0	Humidity(%)= 5.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.800E-3
-9.500E-6	-32.800E-3
-9.000E-6	-32.480E-3
-8.500E-6	-31.830E-3
-8.000E-6	-30.200E-3
-7.500E-6	-28.900E-3
-7.000E-6	-27.430E-3
-6.500E-6	-25.960E-3
-6.000E-6	-23.680E-3
-5.500E-6	-21.550E-3
-5.000E-6	-19.590E-3
-4.500E-6	-17.790E-3
-4.000E-6	-16.150E-3
-3.500E-6	-14.510E-3
-3.000E-6	-12.860E-3
-2.500E-6	-11.220E-3
-2.000E-6	-10.230E-3
-1.500E-6	-8.420E-3
-1.000E-6	-7.260E-3
-500.000E-9	-5.280E-3
-1.694E-21	-3.300E-3
500.000E-9	-2.140E-3
1.000E-6	-160.000E-6
1.500E-6	1.650E-3
2.000E-6	3.480E-3
2.500E-6	5.300E-3
3.000E-6	6.960E-3
3.500E-6	8.630E-3
4.000E-6	9.630E-3
4.500E-6	11.460E-3
5.000E-6	13.290E-3
5.500E-6	14.460E-3
6.000E-6	16.460E-3
6.500E-6	18.300E-3
7.000E-6	20.130E-3
7.500E-6	21.300E-3
8.000E-6	22.480E-3
8.500E-6	24.490E-3
9.000E-6	25.830E-3
9.500E-6	28.010E-3
10.000E-6	30.030E-3
