Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 23.6	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.800E-3
-9.500E-6	-34.800E-3
-9.000E-6	-34.120E-3
-8.500E-6	-33.430E-3
-8.000E-6	-32.390E-3
-7.500E-6	-30.150E-3
-7.000E-6	-28.760E-3
-6.500E-6	-27.380E-3
-6.000E-6	-24.950E-3
-5.500E-6	-22.870E-3
-5.000E-6	-21.480E-3
-4.500E-6	-20.090E-3
-4.000E-6	-18.000E-3
-3.500E-6	-15.910E-3
-3.000E-6	-13.820E-3
-2.500E-6	-11.900E-3
-2.000E-6	-10.150E-3
-1.500E-6	-9.110E-3
-1.000E-6	-7.180E-3
-500.000E-9	-5.250E-3
-1.694E-21	-3.330E-3
500.000E-9	-1.400E-3
1.000E-6	-340.000E-6
1.500E-6	1.580E-3
2.000E-6	3.510E-3
2.500E-6	5.450E-3
3.000E-6	6.680E-3
3.500E-6	8.620E-3
4.000E-6	10.570E-3
4.500E-6	11.800E-3
5.000E-6	13.920E-3
5.500E-6	15.870E-3
6.000E-6	17.820E-3
6.500E-6	19.770E-3
7.000E-6	21.540E-3
7.500E-6	22.600E-3
8.000E-6	23.850E-3
8.500E-6	25.980E-3
9.000E-6	28.110E-3
9.500E-6	30.250E-3
10.000E-6	32.210E-3
