Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 22.8	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-163.860E-3
-1.900E-6	-163.030E-3
-1.800E-6	-161.360E-3
-1.700E-6	-158.030E-3
-1.600E-6	-149.720E-3
-1.500E-6	-143.060E-3
-1.400E-6	-132.280E-3
-1.300E-6	-122.350E-3
-1.200E-6	-116.560E-3
-1.100E-6	-106.670E-3
-1.000E-6	-97.610E-3
-900.000E-9	-88.570E-3
-800.000E-9	-79.540E-3
-700.000E-9	-71.350E-3
-600.000E-9	-63.180E-3
-500.000E-9	-55.030E-3
-400.000E-9	-46.890E-3
-300.000E-9	-42.020E-3
-200.000E-9	-33.100E-3
-100.000E-9	-24.190E-3
0.000E+0	-15.310E-3
100.000E-9	-9.660E-3
200.000E-9	-810.000E-6
300.000E-9	8.010E-3
400.000E-9	13.630E-3
500.000E-9	23.230E-3
600.000E-9	32.010E-3
700.000E-9	40.770E-3
800.000E-9	49.510E-3
900.000E-9	54.270E-3
1.000E-6	62.970E-3
1.100E-6	71.660E-3
1.200E-6	80.320E-3
1.300E-6	88.970E-3
1.400E-6	96.820E-3
1.500E-6	104.640E-3
1.600E-6	112.430E-3
1.700E-6	117.100E-3
1.800E-6	122.540E-3
1.900E-6	131.840E-3
2.000E-6	141.120E-3
