Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC4_CCEdge_IV
Temperature(C)= 21.0	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-164.150E-3
-1.900E-6	-163.330E-3
-1.800E-6	-161.680E-3
-1.700E-6	-158.400E-3
-1.600E-6	-150.200E-3
-1.500E-6	-140.350E-3
-1.400E-6	-133.780E-3
-1.300E-6	-127.220E-3
-1.200E-6	-117.380E-3
-1.100E-6	-110.810E-3
-1.000E-6	-100.150E-3
-900.000E-9	-90.290E-3
-800.000E-9	-84.540E-3
-700.000E-9	-74.690E-3
-600.000E-9	-68.940E-3
-500.000E-9	-59.090E-3
-400.000E-9	-49.240E-3
-300.000E-9	-40.210E-3
-200.000E-9	-34.470E-3
-100.000E-9	-25.440E-3
0.000E+0	-16.410E-3
100.000E-9	-7.380E-3
200.000E-9	-1.630E-3
300.000E-9	7.390E-3
400.000E-9	16.420E-3
500.000E-9	25.450E-3
600.000E-9	34.470E-3
700.000E-9	42.680E-3
800.000E-9	50.890E-3
900.000E-9	55.810E-3
1.000E-6	64.830E-3
1.100E-6	73.860E-3
1.200E-6	79.600E-3
1.300E-6	89.440E-3
1.400E-6	98.460E-3
1.500E-6	107.480E-3
1.600E-6	113.220E-3
1.700E-6	118.950E-3
1.800E-6	125.490E-3
1.900E-6	132.040E-3
2.000E-6	139.400E-3
