Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 22.9	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-170.580E-3
-1.900E-6	-169.730E-3
-1.800E-6	-166.320E-3
-1.700E-6	-160.350E-3
-1.600E-6	-155.240E-3
-1.500E-6	-149.270E-3
-1.400E-6	-142.440E-3
-1.300E-6	-131.360E-3
-1.200E-6	-120.270E-3
-1.100E-6	-113.450E-3
-1.000E-6	-103.220E-3
-900.000E-9	-93.830E-3
-800.000E-9	-87.850E-3
-700.000E-9	-81.020E-3
-600.000E-9	-74.200E-3
-500.000E-9	-67.370E-3
-400.000E-9	-59.700E-3
-300.000E-9	-46.900E-3
-200.000E-9	-34.960E-3
-100.000E-9	-28.140E-3
0.000E+0	-17.900E-3
100.000E-9	-11.930E-3
200.000E-9	-1.700E-3
300.000E-9	8.530E-3
400.000E-9	17.910E-3
500.000E-9	27.290E-3
600.000E-9	35.820E-3
700.000E-9	44.340E-3
800.000E-9	52.870E-3
900.000E-9	61.390E-3
1.000E-6	69.910E-3
1.100E-6	78.430E-3
1.200E-6	86.950E-3
1.300E-6	95.470E-3
1.400E-6	103.990E-3
1.500E-6	112.490E-3
1.600E-6	120.990E-3
1.700E-6	129.480E-3
1.800E-6	137.970E-3
1.900E-6	146.450E-3
2.000E-6	151.540E-3
