Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 21.1	Humidity(%)= 14.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-169.190E-3
-1.900E-6	-169.190E-3
-1.800E-6	-167.500E-3
-1.700E-6	-161.580E-3
-1.600E-6	-153.120E-3
-1.500E-6	-142.970E-3
-1.400E-6	-133.660E-3
-1.300E-6	-125.210E-3
-1.200E-6	-116.750E-3
-1.100E-6	-111.680E-3
-1.000E-6	-102.380E-3
-900.000E-9	-96.450E-3
-800.000E-9	-86.290E-3
-700.000E-9	-76.140E-3
-600.000E-9	-66.830E-3
-500.000E-9	-57.530E-3
-400.000E-9	-49.070E-3
-300.000E-9	-40.610E-3
-200.000E-9	-32.140E-3
-100.000E-9	-23.690E-3
0.000E+0	-15.230E-3
100.000E-9	-10.150E-3
200.000E-9	-850.000E-6
300.000E-9	5.070E-3
400.000E-9	15.220E-3
500.000E-9	25.370E-3
600.000E-9	34.670E-3
700.000E-9	43.980E-3
800.000E-9	52.430E-3
900.000E-9	60.890E-3
1.000E-6	65.960E-3
1.100E-6	75.260E-3
1.200E-6	84.550E-3
1.300E-6	93.850E-3
1.400E-6	103.150E-3
1.500E-6	108.210E-3
1.600E-6	114.120E-3
1.700E-6	124.240E-3
1.800E-6	134.350E-3
1.900E-6	144.470E-3
2.000E-6	153.730E-3
