Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 22.0	Humidity(%)= 13.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-170.020E-3
-1.900E-6	-168.760E-3
-1.800E-6	-165.190E-3
-1.700E-6	-158.900E-3
-1.600E-6	-153.660E-3
-1.500E-6	-144.500E-3
-1.400E-6	-138.240E-3
-1.300E-6	-128.150E-3
-1.200E-6	-121.130E-3
-1.100E-6	-110.810E-3
-1.000E-6	-104.230E-3
-900.000E-9	-94.020E-3
-800.000E-9	-83.490E-3
-700.000E-9	-73.940E-3
-600.000E-9	-64.400E-3
-500.000E-9	-59.170E-3
-400.000E-9	-50.970E-3
-300.000E-9	-41.880E-3
-200.000E-9	-32.840E-3
-100.000E-9	-23.120E-3
0.000E+0	-14.590E-3
100.000E-9	-6.100E-3
200.000E-9	2.640E-3
300.000E-9	11.330E-3
400.000E-9	20.390E-3
500.000E-9	28.860E-3
600.000E-9	37.210E-3
700.000E-9	44.850E-3
800.000E-9	53.450E-3
900.000E-9	62.330E-3
1.000E-6	70.740E-3
1.100E-6	79.940E-3
1.200E-6	88.860E-3
1.300E-6	98.130E-3
1.400E-6	107.680E-3
1.500E-6	116.210E-3
1.600E-6	124.740E-3
1.700E-6	129.850E-3
1.800E-6	139.220E-3
1.900E-6	148.580E-3
2.000E-6	157.940E-3
