Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 21.8	Humidity(%)= 13.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-161.590E-3
-1.900E-6	-160.780E-3
-1.800E-6	-157.550E-3
-1.700E-6	-151.890E-3
-1.600E-6	-143.810E-3
-1.500E-6	-135.730E-3
-1.400E-6	-127.650E-3
-1.300E-6	-119.570E-3
-1.200E-6	-111.500E-3
-1.100E-6	-103.420E-3
-1.000E-6	-95.340E-3
-900.000E-9	-87.250E-3
-800.000E-9	-79.170E-3
-700.000E-9	-71.080E-3
-600.000E-9	-63.010E-3
-500.000E-9	-54.930E-3
-400.000E-9	-46.850E-3
-300.000E-9	-42.000E-3
-200.000E-9	-33.110E-3
-100.000E-9	-27.460E-3
0.000E+0	-17.760E-3
100.000E-9	-11.300E-3
200.000E-9	-1.610E-3
300.000E-9	8.080E-3
400.000E-9	13.730E-3
500.000E-9	23.420E-3
600.000E-9	32.300E-3
700.000E-9	41.190E-3
800.000E-9	50.070E-3
900.000E-9	58.140E-3
1.000E-6	66.210E-3
1.100E-6	74.280E-3
1.200E-6	82.350E-3
1.300E-6	90.420E-3
1.400E-6	98.490E-3
1.500E-6	106.550E-3
1.600E-6	111.380E-3
1.700E-6	120.240E-3
1.800E-6	125.870E-3
1.900E-6	135.530E-3
2.000E-6	145.180E-3
