Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 22.3	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-170.670E-3
-1.900E-6	-169.820E-3
-1.800E-6	-168.120E-3
-1.700E-6	-164.700E-3
-1.600E-6	-156.170E-3
-1.500E-6	-145.930E-3
-1.400E-6	-135.690E-3
-1.300E-6	-129.710E-3
-1.200E-6	-123.740E-3
-1.100E-6	-116.920E-3
-1.000E-6	-105.830E-3
-900.000E-9	-98.990E-3
-800.000E-9	-91.310E-3
-700.000E-9	-79.360E-3
-600.000E-9	-69.110E-3
-500.000E-9	-62.290E-3
-400.000E-9	-52.050E-3
-300.000E-9	-42.660E-3
-200.000E-9	-36.690E-3
-100.000E-9	-26.450E-3
0.000E+0	-17.060E-3
100.000E-9	-7.670E-3
200.000E-9	1.700E-3
300.000E-9	10.240E-3
400.000E-9	18.770E-3
500.000E-9	27.300E-3
600.000E-9	35.830E-3
700.000E-9	44.360E-3
800.000E-9	52.890E-3
900.000E-9	61.410E-3
1.000E-6	66.530E-3
1.100E-6	72.490E-3
1.200E-6	79.310E-3
1.300E-6	86.130E-3
1.400E-6	93.800E-3
1.500E-6	102.320E-3
1.600E-6	110.830E-3
1.700E-6	123.580E-3
1.800E-6	131.220E-3
1.900E-6	143.110E-3
2.000E-6	149.900E-3
