Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-179.800E-3
-1.900E-6	-179.800E-3
-1.800E-6	-176.200E-3
-1.700E-6	-172.600E-3
-1.600E-6	-167.210E-3
-1.500E-6	-160.010E-3
-1.400E-6	-147.420E-3
-1.300E-6	-140.230E-3
-1.200E-6	-132.140E-3
-1.100E-6	-119.550E-3
-1.000E-6	-108.760E-3
-900.000E-9	-101.560E-3
-800.000E-9	-90.770E-3
-700.000E-9	-84.470E-3
-600.000E-9	-77.280E-3
-500.000E-9	-70.090E-3
-400.000E-9	-57.500E-3
-300.000E-9	-50.310E-3
-200.000E-9	-37.730E-3
-100.000E-9	-26.950E-3
0.000E+0	-17.060E-3
100.000E-9	-10.770E-3
200.000E-9	-890.000E-6
300.000E-9	8.980E-3
400.000E-9	18.860E-3
500.000E-9	25.150E-3
600.000E-9	35.020E-3
700.000E-9	44.900E-3
800.000E-9	54.770E-3
900.000E-9	64.640E-3
1.000E-6	70.020E-3
1.100E-6	76.300E-3
1.200E-6	87.060E-3
1.300E-6	97.820E-3
1.400E-6	108.570E-3
1.500E-6	114.840E-3
1.600E-6	124.680E-3
1.700E-6	134.510E-3
1.800E-6	144.340E-3
1.900E-6	150.590E-3
2.000E-6	160.400E-3
