Custom_Flutes_23-Nov-20_3:55:23 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 21.5	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-189.630E-3
-1.900E-6	-188.690E-3
-1.800E-6	-184.900E-3
-1.700E-6	-178.270E-3
-1.600E-6	-172.590E-3
-1.500E-6	-162.170E-3
-1.400E-6	-155.540E-3
-1.300E-6	-147.960E-3
-1.200E-6	-140.380E-3
-1.100E-6	-127.120E-3
-1.000E-6	-114.800E-3
-900.000E-9	-107.220E-3
-800.000E-9	-95.830E-3
-700.000E-9	-85.390E-3
-600.000E-9	-74.960E-3
-500.000E-9	-64.520E-3
-400.000E-9	-55.040E-3
-300.000E-9	-45.550E-3
-200.000E-9	-36.060E-3
-100.000E-9	-26.570E-3
0.000E+0	-17.080E-3
100.000E-9	-7.580E-3
200.000E-9	1.900E-3
300.000E-9	11.400E-3
400.000E-9	20.890E-3
500.000E-9	26.590E-3
600.000E-9	37.040E-3
700.000E-9	47.480E-3
800.000E-9	54.130E-3
900.000E-9	65.530E-3
1.000E-6	72.170E-3
1.100E-6	83.560E-3
1.200E-6	91.160E-3
1.300E-6	102.560E-3
1.400E-6	113.950E-3
1.500E-6	124.380E-3
1.600E-6	134.810E-3
1.700E-6	144.270E-3
1.800E-6	149.960E-3
1.900E-6	160.360E-3
2.000E-6	166.980E-3
