Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 23.3	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-177.670E-3
-1.900E-6	-176.790E-3
-1.800E-6	-173.230E-3
-1.700E-6	-169.680E-3
-1.600E-6	-160.800E-3
-1.500E-6	-151.030E-3
-1.400E-6	-141.260E-3
-1.300E-6	-131.490E-3
-1.200E-6	-126.170E-3
-1.100E-6	-116.400E-3
-1.000E-6	-110.180E-3
-900.000E-9	-99.510E-3
-800.000E-9	-92.400E-3
-700.000E-9	-85.290E-3
-600.000E-9	-73.740E-3
-500.000E-9	-66.630E-3
-400.000E-9	-59.530E-3
-300.000E-9	-47.090E-3
-200.000E-9	-36.420E-3
-100.000E-9	-29.310E-3
0.000E+0	-18.650E-3
100.000E-9	-8.880E-3
200.000E-9	890.000E-6
300.000E-9	10.660E-3
400.000E-9	19.540E-3
500.000E-9	28.430E-3
600.000E-9	33.760E-3
700.000E-9	39.970E-3
800.000E-9	47.080E-3
900.000E-9	54.180E-3
1.000E-6	66.610E-3
1.100E-6	74.600E-3
1.200E-6	87.030E-3
1.300E-6	97.680E-3
1.400E-6	103.890E-3
1.500E-6	110.980E-3
1.600E-6	121.600E-3
1.700E-6	128.680E-3
1.800E-6	135.750E-3
1.900E-6	148.120E-3
2.000E-6	158.710E-3
