Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 22.2	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-179.520E-3
-1.900E-6	-178.630E-3
-1.800E-6	-175.040E-3
-1.700E-6	-168.760E-3
-1.600E-6	-163.370E-3
-1.500E-6	-153.500E-3
-1.400E-6	-143.630E-3
-1.300E-6	-137.350E-3
-1.200E-6	-126.580E-3
-1.100E-6	-116.710E-3
-1.000E-6	-106.840E-3
-900.000E-9	-96.960E-3
-800.000E-9	-91.570E-3
-700.000E-9	-81.690E-3
-600.000E-9	-75.400E-3
-500.000E-9	-68.220E-3
-400.000E-9	-56.550E-3
-300.000E-9	-45.780E-3
-200.000E-9	-38.600E-3
-100.000E-9	-31.420E-3
0.000E+0	-20.640E-3
100.000E-9	-13.460E-3
200.000E-9	-6.280E-3
300.000E-9	6.280E-3
400.000E-9	17.050E-3
500.000E-9	27.830E-3
600.000E-9	37.700E-3
700.000E-9	46.670E-3
800.000E-9	55.650E-3
900.000E-9	64.620E-3
1.000E-6	73.590E-3
1.100E-6	82.560E-3
1.200E-6	87.940E-3
1.300E-6	97.800E-3
1.400E-6	104.080E-3
1.500E-6	111.250E-3
1.600E-6	122.880E-3
1.700E-6	130.040E-3
1.800E-6	141.650E-3
1.900E-6	152.360E-3
2.000E-6	162.170E-3
