Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC4_CCEdge_IV
Temperature(C)= 21.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-170.460E-3
-1.900E-6	-169.610E-3
-1.800E-6	-167.900E-3
-1.700E-6	-164.500E-3
-1.600E-6	-155.970E-3
-1.500E-6	-149.150E-3
-1.400E-6	-142.330E-3
-1.300E-6	-130.400E-3
-1.200E-6	-120.180E-3
-1.100E-6	-113.360E-3
-1.000E-6	-103.130E-3
-900.000E-9	-93.750E-3
-800.000E-9	-84.370E-3
-700.000E-9	-74.990E-3
-600.000E-9	-66.470E-3
-500.000E-9	-57.940E-3
-400.000E-9	-49.420E-3
-300.000E-9	-40.900E-3
-200.000E-9	-35.790E-3
-100.000E-9	-26.410E-3
0.000E+0	-17.040E-3
100.000E-9	-7.660E-3
200.000E-9	1.700E-3
300.000E-9	10.220E-3
400.000E-9	15.340E-3
500.000E-9	24.710E-3
600.000E-9	30.670E-3
700.000E-9	40.890E-3
800.000E-9	47.710E-3
900.000E-9	57.920E-3
1.000E-6	64.740E-3
1.100E-6	74.950E-3
1.200E-6	85.170E-3
1.300E-6	91.130E-3
1.400E-6	101.340E-3
1.500E-6	107.290E-3
1.600E-6	117.480E-3
1.700E-6	124.280E-3
1.800E-6	131.070E-3
1.900E-6	142.100E-3
2.000E-6	148.880E-3
