Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC4_CCEdge_IV
Temperature(C)= 19.3	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-179.590E-3
-1.900E-6	-179.590E-3
-1.800E-6	-177.800E-3
-1.700E-6	-171.510E-3
-1.600E-6	-166.130E-3
-1.500E-6	-154.460E-3
-1.400E-6	-143.680E-3
-1.300E-6	-133.810E-3
-1.200E-6	-127.530E-3
-1.100E-6	-117.660E-3
-1.000E-6	-107.780E-3
-900.000E-9	-101.490E-3
-800.000E-9	-90.700E-3
-700.000E-9	-84.410E-3
-600.000E-9	-73.630E-3
-500.000E-9	-66.450E-3
-400.000E-9	-55.670E-3
-300.000E-9	-48.490E-3
-200.000E-9	-37.710E-3
-100.000E-9	-30.530E-3
0.000E+0	-19.750E-3
100.000E-9	-8.970E-3
200.000E-9	900.000E-6
300.000E-9	10.780E-3
400.000E-9	19.760E-3
500.000E-9	25.150E-3
600.000E-9	31.440E-3
700.000E-9	42.210E-3
800.000E-9	52.990E-3
900.000E-9	63.760E-3
1.000E-6	70.050E-3
1.100E-6	79.920E-3
1.200E-6	89.800E-3
1.300E-6	99.670E-3
1.400E-6	109.540E-3
1.500E-6	118.500E-3
1.600E-6	123.880E-3
1.700E-6	130.140E-3
1.800E-6	140.890E-3
1.900E-6	151.620E-3
2.000E-6	162.350E-3
