Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 22.3	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-172.450E-3
-1.900E-6	-171.580E-3
-1.800E-6	-168.130E-3
-1.700E-6	-162.100E-3
-1.600E-6	-153.480E-3
-1.500E-6	-148.300E-3
-1.400E-6	-142.260E-3
-1.300E-6	-131.920E-3
-1.200E-6	-125.020E-3
-1.100E-6	-118.120E-3
-1.000E-6	-106.050E-3
-900.000E-9	-99.150E-3
-800.000E-9	-92.250E-3
-700.000E-9	-80.170E-3
-600.000E-9	-69.820E-3
-500.000E-9	-62.920E-3
-400.000E-9	-52.580E-3
-300.000E-9	-43.100E-3
-200.000E-9	-33.610E-3
-100.000E-9	-24.130E-3
0.000E+0	-15.510E-3
100.000E-9	-10.340E-3
200.000E-9	-860.000E-6
300.000E-9	8.610E-3
400.000E-9	18.090E-3
500.000E-9	24.120E-3
600.000E-9	33.600E-3
700.000E-9	39.630E-3
800.000E-9	49.960E-3
900.000E-9	56.850E-3
1.000E-6	63.740E-3
1.100E-6	74.920E-3
1.200E-6	85.250E-3
1.300E-6	95.570E-3
1.400E-6	105.030E-3
1.500E-6	113.620E-3
1.600E-6	118.770E-3
1.700E-6	124.770E-3
1.800E-6	131.630E-3
1.900E-6	138.490E-3
2.000E-6	146.190E-3
