Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 22.8	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-172.410E-3
-1.900E-6	-172.410E-3
-1.800E-6	-168.960E-3
-1.700E-6	-165.520E-3
-1.600E-6	-156.900E-3
-1.500E-6	-150.000E-3
-1.400E-6	-143.100E-3
-1.300E-6	-131.900E-3
-1.200E-6	-121.560E-3
-1.100E-6	-114.660E-3
-1.000E-6	-104.320E-3
-900.000E-9	-98.280E-3
-800.000E-9	-87.930E-3
-700.000E-9	-77.580E-3
-600.000E-9	-68.090E-3
-500.000E-9	-62.060E-3
-400.000E-9	-56.020E-3
-300.000E-9	-49.130E-3
-200.000E-9	-37.920E-3
-100.000E-9	-31.030E-3
0.000E+0	-18.960E-3
100.000E-9	-8.610E-3
200.000E-9	860.000E-6
300.000E-9	10.340E-3
400.000E-9	18.950E-3
500.000E-9	24.120E-3
600.000E-9	33.600E-3
700.000E-9	43.080E-3
800.000E-9	52.560E-3
900.000E-9	62.030E-3
1.000E-6	70.640E-3
1.100E-6	79.250E-3
1.200E-6	87.850E-3
1.300E-6	96.460E-3
1.400E-6	101.630E-3
1.500E-6	107.640E-3
1.600E-6	117.950E-3
1.700E-6	128.240E-3
1.800E-6	138.530E-3
1.900E-6	147.960E-3
2.000E-6	153.090E-3
