Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 23.6	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-166.970E-3
-1.900E-6	-166.130E-3
-1.800E-6	-164.460E-3
-1.700E-6	-161.120E-3
-1.600E-6	-156.110E-3
-1.500E-6	-149.430E-3
-1.400E-6	-137.740E-3
-1.300E-6	-126.050E-3
-1.200E-6	-116.050E-3
-1.100E-6	-106.880E-3
-1.000E-6	-98.530E-3
-900.000E-9	-93.520E-3
-800.000E-9	-87.660E-3
-700.000E-9	-77.630E-3
-600.000E-9	-70.940E-3
-500.000E-9	-60.090E-3
-400.000E-9	-53.420E-3
-300.000E-9	-43.400E-3
-200.000E-9	-33.380E-3
-100.000E-9	-27.530E-3
0.000E+0	-17.510E-3
100.000E-9	-8.330E-3
200.000E-9	850.000E-6
300.000E-9	10.020E-3
400.000E-9	18.370E-3
500.000E-9	26.710E-3
600.000E-9	35.060E-3
700.000E-9	43.410E-3
800.000E-9	51.750E-3
900.000E-9	56.760E-3
1.000E-6	65.930E-3
1.100E-6	75.100E-3
1.200E-6	84.260E-3
1.300E-6	93.440E-3
1.400E-6	101.780E-3
1.500E-6	110.100E-3
1.600E-6	118.420E-3
1.700E-6	123.400E-3
1.800E-6	132.550E-3
1.900E-6	141.690E-3
2.000E-6	150.810E-3
