Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 23.7	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-172.250E-3
-1.900E-6	-171.390E-3
-1.800E-6	-167.940E-3
-1.700E-6	-161.910E-3
-1.600E-6	-156.750E-3
-1.500E-6	-150.720E-3
-1.400E-6	-140.380E-3
-1.300E-6	-133.490E-3
-1.200E-6	-122.300E-3
-1.100E-6	-115.410E-3
-1.000E-6	-105.070E-3
-900.000E-9	-94.730E-3
-800.000E-9	-85.250E-3
-700.000E-9	-75.780E-3
-600.000E-9	-67.160E-3
-500.000E-9	-58.550E-3
-400.000E-9	-49.940E-3
-300.000E-9	-41.330E-3
-200.000E-9	-32.710E-3
-100.000E-9	-27.550E-3
0.000E+0	-18.070E-3
100.000E-9	-12.050E-3
200.000E-9	-1.710E-3
300.000E-9	5.170E-3
400.000E-9	15.500E-3
500.000E-9	22.390E-3
600.000E-9	32.720E-3
700.000E-9	39.600E-3
800.000E-9	49.930E-3
900.000E-9	60.250E-3
1.000E-6	66.270E-3
1.100E-6	73.150E-3
1.200E-6	80.030E-3
1.300E-6	91.210E-3
1.400E-6	102.380E-3
1.500E-6	112.680E-3
1.600E-6	118.680E-3
1.700E-6	128.110E-3
1.800E-6	137.520E-3
1.900E-6	146.930E-3
2.000E-6	152.920E-3
