Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 22.0	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-173.930E-3
-1.900E-6	-173.930E-3
-1.800E-6	-172.190E-3
-1.700E-6	-168.710E-3
-1.600E-6	-163.500E-3
-1.500E-6	-156.540E-3
-1.400E-6	-147.850E-3
-1.300E-6	-139.150E-3
-1.200E-6	-130.460E-3
-1.100E-6	-121.770E-3
-1.000E-6	-108.720E-3
-900.000E-9	-100.890E-3
-800.000E-9	-88.710E-3
-700.000E-9	-78.270E-3
-600.000E-9	-72.180E-3
-500.000E-9	-61.750E-3
-400.000E-9	-52.180E-3
-300.000E-9	-42.610E-3
-200.000E-9	-36.520E-3
-100.000E-9	-30.430E-3
0.000E+0	-20.000E-3
100.000E-9	-13.040E-3
200.000E-9	-1.730E-3
300.000E-9	8.690E-3
400.000E-9	14.780E-3
500.000E-9	25.220E-3
600.000E-9	34.780E-3
700.000E-9	44.350E-3
800.000E-9	53.910E-3
900.000E-9	62.600E-3
1.000E-6	67.810E-3
1.100E-6	77.370E-3
1.200E-6	86.930E-3
1.300E-6	96.480E-3
1.400E-6	106.040E-3
1.500E-6	114.710E-3
1.600E-6	123.370E-3
1.700E-6	132.030E-3
1.800E-6	140.690E-3
1.900E-6	149.350E-3
2.000E-6	154.530E-3
