Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-175.310E-3
-1.900E-6	-174.430E-3
-1.800E-6	-172.680E-3
-1.700E-6	-166.550E-3
-1.600E-6	-161.290E-3
-1.500E-6	-154.280E-3
-1.400E-6	-142.880E-3
-1.300E-6	-135.870E-3
-1.200E-6	-124.480E-3
-1.100E-6	-117.470E-3
-1.000E-6	-106.960E-3
-900.000E-9	-96.430E-3
-800.000E-9	-86.780E-3
-700.000E-9	-77.140E-3
-600.000E-9	-68.370E-3
-500.000E-9	-59.600E-3
-400.000E-9	-54.340E-3
-300.000E-9	-44.700E-3
-200.000E-9	-38.560E-3
-100.000E-9	-31.550E-3
0.000E+0	-20.150E-3
100.000E-9	-13.140E-3
200.000E-9	-1.750E-3
300.000E-9	5.260E-3
400.000E-9	15.770E-3
500.000E-9	26.290E-3
600.000E-9	35.930E-3
700.000E-9	45.570E-3
800.000E-9	54.330E-3
900.000E-9	59.590E-3
1.000E-6	69.220E-3
1.100E-6	78.850E-3
1.200E-6	88.480E-3
1.300E-6	94.610E-3
1.400E-6	100.740E-3
1.500E-6	107.740E-3
1.600E-6	114.730E-3
1.700E-6	126.950E-3
1.800E-6	134.800E-3
1.900E-6	142.650E-3
2.000E-6	150.490E-3
