Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 23.4	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-180.190E-3
-1.900E-6	-180.190E-3
-1.800E-6	-176.590E-3
-1.700E-6	-170.280E-3
-1.600E-6	-161.270E-3
-1.500E-6	-154.970E-3
-1.400E-6	-148.660E-3
-1.300E-6	-141.450E-3
-1.200E-6	-129.740E-3
-1.100E-6	-118.030E-3
-1.000E-6	-110.820E-3
-900.000E-9	-103.620E-3
-800.000E-9	-96.410E-3
-700.000E-9	-84.700E-3
-600.000E-9	-73.000E-3
-500.000E-9	-62.180E-3
-400.000E-9	-52.250E-3
-300.000E-9	-46.840E-3
-200.000E-9	-36.920E-3
-100.000E-9	-30.610E-3
0.000E+0	-19.800E-3
100.000E-9	-12.590E-3
200.000E-9	-1.780E-3
300.000E-9	9.020E-3
400.000E-9	18.920E-3
500.000E-9	25.210E-3
600.000E-9	35.100E-3
700.000E-9	41.400E-3
800.000E-9	48.590E-3
900.000E-9	55.790E-3
1.000E-6	68.390E-3
1.100E-6	80.080E-3
1.200E-6	90.900E-3
1.300E-6	100.820E-3
1.400E-6	109.820E-3
1.500E-6	118.800E-3
1.600E-6	127.760E-3
1.700E-6	136.710E-3
1.800E-6	142.090E-3
1.900E-6	148.350E-3
2.000E-6	159.070E-3
