Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 21.7	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-166.430E-3
-1.900E-6	-166.430E-3
-1.800E-6	-164.740E-3
-1.700E-6	-161.400E-3
-1.600E-6	-153.040E-3
-1.500E-6	-146.340E-3
-1.400E-6	-134.670E-3
-1.300E-6	-127.980E-3
-1.200E-6	-117.960E-3
-1.100E-6	-111.280E-3
-1.000E-6	-101.240E-3
-900.000E-9	-94.560E-3
-800.000E-9	-87.870E-3
-700.000E-9	-76.990E-3
-600.000E-9	-66.950E-3
-500.000E-9	-60.260E-3
-400.000E-9	-50.230E-3
-300.000E-9	-44.390E-3
-200.000E-9	-37.720E-3
-100.000E-9	-26.840E-3
0.000E+0	-16.810E-3
100.000E-9	-6.770E-3
200.000E-9	-920.000E-6
300.000E-9	8.270E-3
400.000E-9	14.120E-3
500.000E-9	24.140E-3
600.000E-9	34.160E-3
700.000E-9	43.350E-3
800.000E-9	52.530E-3
900.000E-9	60.910E-3
1.000E-6	69.270E-3
1.100E-6	77.630E-3
1.200E-6	85.960E-3
1.300E-6	94.300E-3
1.400E-6	102.650E-3
1.500E-6	110.990E-3
1.600E-6	119.320E-3
1.700E-6	127.650E-3
1.800E-6	132.650E-3
1.900E-6	141.810E-3
2.000E-6	150.950E-3
