Custom_Flutes_23-Nov-20_4:30:10 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 21.7	Humidity(%)= 11.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-179.700E-3
-1.900E-6	-179.700E-3
-1.800E-6	-176.110E-3
-1.700E-6	-169.820E-3
-1.600E-6	-160.840E-3
-1.500E-6	-150.960E-3
-1.400E-6	-141.980E-3
-1.300E-6	-136.590E-3
-1.200E-6	-126.710E-3
-1.100E-6	-116.830E-3
-1.000E-6	-110.540E-3
-900.000E-9	-99.750E-3
-800.000E-9	-89.860E-3
-700.000E-9	-79.980E-3
-600.000E-9	-73.690E-3
-500.000E-9	-63.800E-3
-400.000E-9	-57.510E-3
-300.000E-9	-46.730E-3
-200.000E-9	-35.940E-3
-100.000E-9	-26.060E-3
0.000E+0	-16.170E-3
100.000E-9	-7.180E-3
200.000E-9	1.800E-3
300.000E-9	10.780E-3
400.000E-9	19.770E-3
500.000E-9	28.760E-3
600.000E-9	37.740E-3
700.000E-9	46.730E-3
800.000E-9	55.720E-3
900.000E-9	64.700E-3
1.000E-6	73.680E-3
1.100E-6	82.660E-3
1.200E-6	91.640E-3
1.300E-6	100.620E-3
1.400E-6	109.590E-3
1.500E-6	114.970E-3
1.600E-6	124.820E-3
1.700E-6	131.080E-3
1.800E-6	141.820E-3
1.900E-6	152.540E-3
2.000E-6	162.350E-3
