Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 22.2	Humidity(%)= 8.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-177.980E-3
-1.900E-6	-177.090E-3
-1.800E-6	-175.310E-3
-1.700E-6	-171.750E-3
-1.600E-6	-166.410E-3
-1.500E-6	-154.850E-3
-1.400E-6	-143.280E-3
-1.300E-6	-132.610E-3
-1.200E-6	-126.380E-3
-1.100E-6	-116.600E-3
-1.000E-6	-106.810E-3
-900.000E-9	-97.010E-3
-800.000E-9	-87.210E-3
-700.000E-9	-81.870E-3
-600.000E-9	-72.080E-3
-500.000E-9	-65.850E-3
-400.000E-9	-58.730E-3
-300.000E-9	-51.610E-3
-200.000E-9	-43.600E-3
-100.000E-9	-35.590E-3
0.000E+0	-22.240E-3
100.000E-9	-14.230E-3
200.000E-9	-1.770E-3
300.000E-9	8.900E-3
400.000E-9	15.130E-3
500.000E-9	25.810E-3
600.000E-9	32.040E-3
700.000E-9	42.710E-3
800.000E-9	53.390E-3
900.000E-9	63.170E-3
1.000E-6	72.950E-3
1.100E-6	78.290E-3
1.200E-6	84.510E-3
1.300E-6	95.170E-3
1.400E-6	102.290E-3
1.500E-6	113.820E-3
1.600E-6	124.460E-3
1.700E-6	134.200E-3
1.800E-6	140.400E-3
1.900E-6	146.600E-3
2.000E-6	157.190E-3
