Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 23.4	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-171.410E-3
-1.900E-6	-170.560E-3
-1.800E-6	-168.840E-3
-1.700E-6	-162.840E-3
-1.600E-6	-154.280E-3
-1.500E-6	-144.850E-3
-1.400E-6	-138.850E-3
-1.300E-6	-129.430E-3
-1.200E-6	-123.430E-3
-1.100E-6	-113.150E-3
-1.000E-6	-102.870E-3
-900.000E-9	-93.430E-3
-800.000E-9	-87.430E-3
-700.000E-9	-81.430E-3
-600.000E-9	-71.140E-3
-500.000E-9	-60.860E-3
-400.000E-9	-50.570E-3
-300.000E-9	-44.570E-3
-200.000E-9	-35.140E-3
-100.000E-9	-29.140E-3
0.000E+0	-18.850E-3
100.000E-9	-8.570E-3
200.000E-9	850.000E-6
300.000E-9	10.280E-3
400.000E-9	15.420E-3
500.000E-9	21.420E-3
600.000E-9	28.280E-3
700.000E-9	39.420E-3
800.000E-9	50.560E-3
900.000E-9	60.840E-3
1.000E-6	70.260E-3
1.100E-6	78.820E-3
1.200E-6	87.380E-3
1.300E-6	92.520E-3
1.400E-6	101.940E-3
1.500E-6	111.340E-3
1.600E-6	120.730E-3
1.700E-6	126.710E-3
1.800E-6	136.090E-3
1.900E-6	145.460E-3
2.000E-6	154.830E-3
