Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC4_CCEdge_IV
Temperature(C)= 20.1	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-169.070E-3
-1.900E-6	-169.070E-3
-1.800E-6	-165.690E-3
-1.700E-6	-159.770E-3
-1.600E-6	-151.320E-3
-1.500E-6	-142.020E-3
-1.400E-6	-133.570E-3
-1.300E-6	-128.500E-3
-1.200E-6	-122.580E-3
-1.100E-6	-112.440E-3
-1.000E-6	-102.300E-3
-900.000E-9	-92.150E-3
-800.000E-9	-82.840E-3
-700.000E-9	-77.770E-3
-600.000E-9	-71.850E-3
-500.000E-9	-61.700E-3
-400.000E-9	-51.560E-3
-300.000E-9	-41.410E-3
-200.000E-9	-32.110E-3
-100.000E-9	-23.660E-3
0.000E+0	-15.200E-3
100.000E-9	-10.130E-3
200.000E-9	-830.000E-6
300.000E-9	8.460E-3
400.000E-9	14.370E-3
500.000E-9	24.520E-3
600.000E-9	30.440E-3
700.000E-9	40.580E-3
800.000E-9	50.720E-3
900.000E-9	60.010E-3
1.000E-6	65.930E-3
1.100E-6	75.220E-3
1.200E-6	84.510E-3
1.300E-6	93.810E-3
1.400E-6	103.100E-3
1.500E-6	111.530E-3
1.600E-6	116.590E-3
1.700E-6	122.490E-3
1.800E-6	129.230E-3
1.900E-6	140.190E-3
2.000E-6	151.130E-3
