Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 23.1	Humidity(%)= 5.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-164.560E-3
-1.900E-6	-164.560E-3
-1.800E-6	-162.910E-3
-1.700E-6	-157.150E-3
-1.600E-6	-152.220E-3
-1.500E-6	-141.520E-3
-1.400E-6	-134.940E-3
-1.300E-6	-125.070E-3
-1.200E-6	-115.200E-3
-1.100E-6	-109.440E-3
-1.000E-6	-99.570E-3
-900.000E-9	-90.510E-3
-800.000E-9	-84.750E-3
-700.000E-9	-74.870E-3
-600.000E-9	-65.820E-3
-500.000E-9	-60.060E-3
-400.000E-9	-50.180E-3
-300.000E-9	-44.420E-3
-200.000E-9	-37.840E-3
-100.000E-9	-27.150E-3
0.000E+0	-17.270E-3
100.000E-9	-10.690E-3
200.000E-9	-810.000E-6
300.000E-9	8.220E-3
400.000E-9	17.280E-3
500.000E-9	23.040E-3
600.000E-9	32.080E-3
700.000E-9	37.840E-3
800.000E-9	47.710E-3
900.000E-9	57.580E-3
1.000E-6	66.620E-3
1.100E-6	75.660E-3
1.200E-6	83.880E-3
1.300E-6	92.100E-3
1.400E-6	100.320E-3
1.500E-6	108.520E-3
1.600E-6	116.720E-3
1.700E-6	121.640E-3
1.800E-6	130.650E-3
1.900E-6	139.650E-3
2.000E-6	148.650E-3
