Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 22.5	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-178.010E-3
-1.900E-6	-177.120E-3
-1.800E-6	-175.320E-3
-1.700E-6	-169.090E-3
-1.600E-6	-160.200E-3
-1.500E-6	-150.410E-3
-1.400E-6	-144.180E-3
-1.300E-6	-134.400E-3
-1.200E-6	-128.170E-3
-1.100E-6	-117.480E-3
-1.000E-6	-106.810E-3
-900.000E-9	-100.580E-3
-800.000E-9	-93.440E-3
-700.000E-9	-86.320E-3
-600.000E-9	-74.740E-3
-500.000E-9	-63.170E-3
-400.000E-9	-52.490E-3
-300.000E-9	-42.700E-3
-200.000E-9	-37.360E-3
-100.000E-9	-31.130E-3
0.000E+0	-20.460E-3
100.000E-9	-9.780E-3
200.000E-9	890.000E-6
300.000E-9	7.120E-3
400.000E-9	16.910E-3
500.000E-9	26.690E-3
600.000E-9	36.480E-3
700.000E-9	46.260E-3
800.000E-9	55.150E-3
900.000E-9	60.490E-3
1.000E-6	66.710E-3
1.100E-6	73.820E-3
1.200E-6	85.370E-3
1.300E-6	96.920E-3
1.400E-6	107.570E-3
1.500E-6	113.780E-3
1.600E-6	119.990E-3
1.700E-6	130.620E-3
1.800E-6	137.700E-3
1.900E-6	149.200E-3
2.000E-6	156.280E-3
