Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 21.6	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-172.080E-3
-1.900E-6	-172.080E-3
-1.800E-6	-168.640E-3
-1.700E-6	-165.200E-3
-1.600E-6	-156.600E-3
-1.500E-6	-149.720E-3
-1.400E-6	-142.830E-3
-1.300E-6	-135.950E-3
-1.200E-6	-123.910E-3
-1.100E-6	-117.030E-3
-1.000E-6	-104.990E-3
-900.000E-9	-98.090E-3
-800.000E-9	-91.210E-3
-700.000E-9	-84.320E-3
-600.000E-9	-72.270E-3
-500.000E-9	-61.080E-3
-400.000E-9	-54.200E-3
-300.000E-9	-47.320E-3
-200.000E-9	-40.430E-3
-100.000E-9	-29.250E-3
0.000E+0	-18.060E-3
100.000E-9	-7.730E-3
200.000E-9	-1.710E-3
300.000E-9	7.740E-3
400.000E-9	13.770E-3
500.000E-9	24.090E-3
600.000E-9	34.410E-3
700.000E-9	43.870E-3
800.000E-9	53.330E-3
900.000E-9	61.930E-3
1.000E-6	67.090E-3
1.100E-6	76.540E-3
1.200E-6	85.990E-3
1.300E-6	92.010E-3
1.400E-6	102.320E-3
1.500E-6	111.750E-3
1.600E-6	117.760E-3
1.700E-6	124.610E-3
1.800E-6	134.890E-3
1.900E-6	145.160E-3
2.000E-6	152.000E-3
