Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 22.0	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-174.620E-3
-1.900E-6	-173.750E-3
-1.800E-6	-172.000E-3
-1.700E-6	-168.510E-3
-1.600E-6	-159.780E-3
-1.500E-6	-149.300E-3
-1.400E-6	-138.830E-3
-1.300E-6	-129.230E-3
-1.200E-6	-123.990E-3
-1.100E-6	-117.880E-3
-1.000E-6	-107.410E-3
-900.000E-9	-96.920E-3
-800.000E-9	-86.440E-3
-700.000E-9	-76.830E-3
-600.000E-9	-68.100E-3
-500.000E-9	-62.860E-3
-400.000E-9	-53.260E-3
-300.000E-9	-43.650E-3
-200.000E-9	-37.540E-3
-100.000E-9	-30.560E-3
0.000E+0	-20.080E-3
100.000E-9	-9.600E-3
200.000E-9	-2.610E-3
300.000E-9	7.850E-3
400.000E-9	13.960E-3
500.000E-9	20.950E-3
600.000E-9	32.300E-3
700.000E-9	42.770E-3
800.000E-9	49.750E-3
900.000E-9	60.220E-3
1.000E-6	66.330E-3
1.100E-6	76.800E-3
1.200E-6	83.770E-3
1.300E-6	94.240E-3
1.400E-6	104.700E-3
1.500E-6	110.800E-3
1.600E-6	121.240E-3
1.700E-6	130.800E-3
1.800E-6	140.360E-3
1.900E-6	146.440E-3
2.000E-6	152.510E-3
