Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 23.6	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-176.970E-3
-1.900E-6	-176.970E-3
-1.800E-6	-175.200E-3
-1.700E-6	-171.660E-3
-1.600E-6	-166.360E-3
-1.500E-6	-154.900E-3
-1.400E-6	-146.910E-3
-1.300E-6	-138.970E-3
-1.200E-6	-126.570E-3
-1.100E-6	-115.900E-3
-1.000E-6	-105.290E-3
-900.000E-9	-95.550E-3
-800.000E-9	-90.250E-3
-700.000E-9	-80.500E-3
-600.000E-9	-74.300E-3
-500.000E-9	-63.700E-3
-400.000E-9	-53.080E-3
-300.000E-9	-46.900E-3
-200.000E-9	-39.820E-3
-100.000E-9	-32.730E-3
0.000E+0	-21.230E-3
100.000E-9	-14.140E-3
200.000E-9	-1.750E-3
300.000E-9	8.870E-3
400.000E-9	15.070E-3
500.000E-9	25.690E-3
600.000E-9	35.410E-3
700.000E-9	45.120E-3
800.000E-9	54.850E-3
900.000E-9	63.670E-3
1.000E-6	72.510E-3
1.100E-6	81.330E-3
1.200E-6	90.170E-3
1.300E-6	99.040E-3
1.400E-6	107.920E-3
1.500E-6	113.290E-3
1.600E-6	122.940E-3
1.700E-6	129.090E-3
1.800E-6	139.630E-3
1.900E-6	146.610E-3
2.000E-6	157.130E-3
