Name,I_600 [A]
VPX33234_011_PSS_EE_Left,2.44E-11
VPX33234_011_PSS_EE_Right,9.66E-11
VPX33234_012_PSS_EE_Right,2.13E-10
VPX33234_013_PSS_EE_Left,2.40E-10
VPX33234_013_PSS_EE_Right,2.33E-10
VPX33234_014_PSS_EE_Left,2.24E-10
VPX33234_014_PSS_EE_Right,2.08E-10
VPX33234_015_PSS_EE_Left,3.20E-10
VPX33234_012_PSS_WW_Left,3.32E-11
VPX33234_013_PSS_WW_Left,4.81E-11
VPX33234_013_PSS_WW_Right,1.21E-10
VPX33234_015_PSS_WW_Left,4.43E-10
VPX33234_015_PSS_WW_Right,2.07E-10
