Custom_Flutes_23-Nov-20_3:11:13 PM	Left_PQC1_VDPStrip_s
Temperature(C)= 21.2	Humidity(%)= 18.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-4.460E-3
-950.000E-6	-6.760E-3
-900.000E-6	-7.330E-3
-850.000E-6	-7.320E-3
-800.000E-6	-7.050E-3
-750.000E-6	-6.690E-3
-700.000E-6	-6.320E-3
-650.000E-6	-5.950E-3
-600.000E-6	-5.570E-3
-550.000E-6	-5.200E-3
-500.000E-6	-4.820E-3
-450.000E-6	-4.450E-3
-400.000E-6	-4.070E-3
-350.000E-6	-3.700E-3
-300.000E-6	-3.320E-3
-250.000E-6	-2.950E-3
-200.000E-6	-2.580E-3
-150.000E-6	-2.200E-3
-100.000E-6	-1.820E-3
-50.000E-6	-1.450E-3
0.000E+0	-1.070E-3
50.000E-6	-690.000E-6
100.000E-6	-320.000E-6
150.000E-6	50.000E-6
200.000E-6	430.000E-6
250.000E-6	810.000E-6
300.000E-6	1.190E-3
350.000E-6	1.580E-3
400.000E-6	1.960E-3
450.000E-6	2.340E-3
500.000E-6	2.730E-3
550.000E-6	3.110E-3
600.000E-6	3.490E-3
650.000E-6	3.870E-3
700.000E-6	4.250E-3
750.000E-6	4.630E-3
800.000E-6	5.020E-3
850.000E-6	5.400E-3
900.000E-6	5.780E-3
950.000E-6	6.160E-3
1.000E-3	6.540E-3
