Custom_Flutes_23-Nov-20_3:42:54 PM	Right_PQC1_VDPStrip_r
Temperature(C)= 21.4	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.520E-3
-950.000E-6	-7.470E-3
-900.000E-6	-7.340E-3
-850.000E-6	-7.070E-3
-800.000E-6	-6.690E-3
-750.000E-6	-6.310E-3
-700.000E-6	-5.930E-3
-650.000E-6	-5.540E-3
-600.000E-6	-5.160E-3
-550.000E-6	-4.780E-3
-500.000E-6	-4.390E-3
-450.000E-6	-4.010E-3
-400.000E-6	-3.630E-3
-350.000E-6	-3.250E-3
-300.000E-6	-2.870E-3
-250.000E-6	-2.490E-3
-200.000E-6	-2.110E-3
-150.000E-6	-1.730E-3
-100.000E-6	-1.340E-3
-50.000E-6	-1.110E-3
0.000E+0	-690.000E-6
50.000E-6	-270.000E-6
100.000E-6	140.000E-6
150.000E-6	410.000E-6
200.000E-6	830.000E-6
250.000E-6	1.250E-3
300.000E-6	1.670E-3
350.000E-6	2.090E-3
400.000E-6	2.480E-3
450.000E-6	2.860E-3
500.000E-6	3.240E-3
550.000E-6	3.630E-3
600.000E-6	4.010E-3
650.000E-6	4.390E-3
700.000E-6	4.780E-3
750.000E-6	5.160E-3
800.000E-6	5.540E-3
850.000E-6	5.920E-3
900.000E-6	6.310E-3
950.000E-6	6.690E-3
1.000E-3	7.080E-3
