Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC1_VDPStrip_s
Temperature(C)= 22.5	Humidity(%)= 25.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.560E-3
-950.000E-6	-7.520E-3
-900.000E-6	-7.370E-3
-850.000E-6	-7.100E-3
-800.000E-6	-6.730E-3
-750.000E-6	-6.350E-3
-700.000E-6	-5.970E-3
-650.000E-6	-5.590E-3
-600.000E-6	-5.210E-3
-550.000E-6	-4.830E-3
-500.000E-6	-4.460E-3
-450.000E-6	-4.080E-3
-400.000E-6	-3.700E-3
-350.000E-6	-3.320E-3
-300.000E-6	-2.940E-3
-250.000E-6	-2.560E-3
-200.000E-6	-2.190E-3
-150.000E-6	-1.810E-3
-100.000E-6	-1.580E-3
-50.000E-6	-1.160E-3
0.000E+0	-750.000E-6
50.000E-6	-330.000E-6
100.000E-6	70.000E-6
150.000E-6	450.000E-6
200.000E-6	830.000E-6
250.000E-6	1.210E-3
300.000E-6	1.590E-3
350.000E-6	1.970E-3
400.000E-6	2.350E-3
450.000E-6	2.720E-3
500.000E-6	3.100E-3
550.000E-6	3.480E-3
600.000E-6	3.710E-3
650.000E-6	4.130E-3
700.000E-6	4.540E-3
750.000E-6	4.960E-3
800.000E-6	5.380E-3
850.000E-6	5.760E-3
900.000E-6	6.130E-3
950.000E-6	6.510E-3
1.000E-3	6.890E-3
