Custom_Flutes_23-Nov-20_6:56:35 PM	Left_PQC1_VDPStrip_r
Temperature(C)= 22.4	Humidity(%)= 18.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.540E-3
-950.000E-6	-7.540E-3
-900.000E-6	-7.380E-3
-850.000E-6	-7.100E-3
-800.000E-6	-6.680E-3
-750.000E-6	-6.250E-3
-700.000E-6	-5.850E-3
-650.000E-6	-5.440E-3
-600.000E-6	-5.050E-3
-550.000E-6	-4.670E-3
-500.000E-6	-4.280E-3
-450.000E-6	-3.900E-3
-400.000E-6	-3.520E-3
-350.000E-6	-3.140E-3
-300.000E-6	-2.760E-3
-250.000E-6	-2.380E-3
-200.000E-6	-1.990E-3
-150.000E-6	-1.610E-3
-100.000E-6	-1.230E-3
-50.000E-6	-850.000E-6
0.000E+0	-470.000E-6
50.000E-6	-80.000E-6
100.000E-6	290.000E-6
150.000E-6	670.000E-6
200.000E-6	1.050E-3
250.000E-6	1.430E-3
300.000E-6	1.810E-3
350.000E-6	2.190E-3
400.000E-6	2.570E-3
450.000E-6	2.950E-3
500.000E-6	3.330E-3
550.000E-6	3.720E-3
600.000E-6	4.100E-3
650.000E-6	4.480E-3
700.000E-6	4.860E-3
750.000E-6	5.250E-3
800.000E-6	5.630E-3
850.000E-6	6.010E-3
900.000E-6	6.400E-3
950.000E-6	6.790E-3
1.000E-3	7.170E-3
