Custom_Flutes_13-Nov-20_4:34:56 PM	Left_PQC1_VDPStrip_r
Temperature(C)= 23.7	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.690E-3
-950.000E-6	-7.650E-3
-900.000E-6	-7.500E-3
-850.000E-6	-7.260E-3
-800.000E-6	-6.880E-3
-750.000E-6	-6.490E-3
-700.000E-6	-6.110E-3
-650.000E-6	-5.740E-3
-600.000E-6	-5.360E-3
-550.000E-6	-5.000E-3
-500.000E-6	-4.610E-3
-450.000E-6	-4.230E-3
-400.000E-6	-3.840E-3
-350.000E-6	-3.460E-3
-300.000E-6	-3.070E-3
-250.000E-6	-2.700E-3
-200.000E-6	-2.310E-3
-150.000E-6	-1.930E-3
-100.000E-6	-1.540E-3
-50.000E-6	-1.160E-3
0.000E+0	-780.000E-6
50.000E-6	-400.000E-6
100.000E-6	-10.000E-6
150.000E-6	360.000E-6
200.000E-6	740.000E-6
250.000E-6	1.110E-3
300.000E-6	1.490E-3
350.000E-6	1.870E-3
400.000E-6	2.250E-3
450.000E-6	2.620E-3
500.000E-6	3.000E-3
550.000E-6	3.390E-3
600.000E-6	3.780E-3
650.000E-6	4.170E-3
700.000E-6	4.560E-3
750.000E-6	4.950E-3
800.000E-6	5.310E-3
850.000E-6	5.690E-3
900.000E-6	6.060E-3
950.000E-6	6.440E-3
1.000E-3	6.830E-3
