Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 20.8	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.380E-3
-9.500E-6	-32.220E-3
-9.000E-6	-31.580E-3
-8.500E-6	-30.450E-3
-8.000E-6	-28.840E-3
-7.500E-6	-27.240E-3
-7.000E-6	-25.620E-3
-6.500E-6	-24.660E-3
-6.000E-6	-22.880E-3
-5.500E-6	-21.110E-3
-5.000E-6	-19.330E-3
-4.500E-6	-18.200E-3
-4.000E-6	-16.420E-3
-3.500E-6	-14.640E-3
-3.000E-6	-12.850E-3
-2.500E-6	-11.720E-3
-2.000E-6	-9.930E-3
-1.500E-6	-8.140E-3
-1.000E-6	-6.350E-3
-500.000E-9	-4.560E-3
-1.694E-21	-2.930E-3
500.000E-9	-1.300E-3
1.000E-6	320.000E-6
1.500E-6	1.950E-3
2.000E-6	3.590E-3
2.500E-6	5.220E-3
3.000E-6	6.860E-3
3.500E-6	8.500E-3
4.000E-6	9.490E-3
4.500E-6	11.290E-3
5.000E-6	13.100E-3
5.500E-6	14.910E-3
6.000E-6	16.060E-3
6.500E-6	17.870E-3
7.000E-6	19.680E-3
7.500E-6	21.490E-3
8.000E-6	22.650E-3
8.500E-6	24.460E-3
9.000E-6	26.280E-3
9.500E-6	27.430E-3
10.000E-6	28.760E-3
