Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 19.8	Humidity(%)= 8.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.900E-3
-9.500E-6	-32.730E-3
-9.000E-6	-32.410E-3
-8.500E-6	-31.750E-3
-8.000E-6	-30.770E-3
-7.500E-6	-28.650E-3
-7.000E-6	-26.520E-3
-6.500E-6	-25.220E-3
-6.000E-6	-23.250E-3
-5.500E-6	-22.100E-3
-5.000E-6	-20.130E-3
-4.500E-6	-18.160E-3
-4.000E-6	-16.350E-3
-3.500E-6	-14.540E-3
-3.000E-6	-12.890E-3
-2.500E-6	-11.240E-3
-2.000E-6	-9.590E-3
-1.500E-6	-7.940E-3
-1.000E-6	-6.280E-3
-500.000E-9	-5.290E-3
-1.694E-21	-3.470E-3
500.000E-9	-2.310E-3
1.000E-6	-990.000E-6
1.500E-6	1.160E-3
2.000E-6	3.150E-3
2.500E-6	5.150E-3
3.000E-6	6.980E-3
3.500E-6	8.640E-3
4.000E-6	9.640E-3
4.500E-6	10.810E-3
5.000E-6	12.140E-3
5.500E-6	14.310E-3
6.000E-6	16.490E-3
6.500E-6	18.500E-3
7.000E-6	20.340E-3
7.500E-6	21.340E-3
8.000E-6	23.190E-3
8.500E-6	25.030E-3
9.000E-6	26.880E-3
9.500E-6	28.730E-3
10.000E-6	30.410E-3
