Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 20.8	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.100E-3
-9.500E-6	-32.100E-3
-9.000E-6	-31.460E-3
-8.500E-6	-30.350E-3
-8.000E-6	-28.750E-3
-7.500E-6	-27.640E-3
-7.000E-6	-26.520E-3
-6.500E-6	-24.600E-3
-6.000E-6	-22.680E-3
-5.500E-6	-21.400E-3
-5.000E-6	-20.120E-3
-4.500E-6	-18.190E-3
-4.000E-6	-16.910E-3
-3.500E-6	-15.630E-3
-3.000E-6	-13.380E-3
-2.500E-6	-12.100E-3
-2.000E-6	-10.010E-3
-1.500E-6	-8.070E-3
-1.000E-6	-6.950E-3
-500.000E-9	-5.010E-3
-1.694E-21	-3.240E-3
500.000E-9	-2.110E-3
1.000E-6	-820.000E-6
1.500E-6	470.000E-6
2.000E-6	2.580E-3
2.500E-6	4.690E-3
3.000E-6	6.640E-3
3.500E-6	8.420E-3
4.000E-6	10.050E-3
4.500E-6	11.020E-3
5.000E-6	12.810E-3
5.500E-6	14.610E-3
6.000E-6	16.400E-3
6.500E-6	18.190E-3
7.000E-6	19.820E-3
7.500E-6	21.460E-3
8.000E-6	23.090E-3
8.500E-6	24.070E-3
9.000E-6	25.870E-3
9.500E-6	27.010E-3
10.000E-6	28.320E-3
