Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 22.0	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.140E-3
-9.500E-6	-33.970E-3
-9.000E-6	-33.300E-3
-8.500E-6	-32.110E-3
-8.000E-6	-30.420E-3
-7.500E-6	-29.400E-3
-7.000E-6	-27.540E-3
-6.500E-6	-25.670E-3
-6.000E-6	-24.480E-3
-5.500E-6	-23.120E-3
-5.000E-6	-21.760E-3
-4.500E-6	-20.390E-3
-4.000E-6	-18.860E-3
-3.500E-6	-16.300E-3
-3.000E-6	-14.760E-3
-2.500E-6	-12.360E-3
-2.000E-6	-10.310E-3
-1.500E-6	-8.420E-3
-1.000E-6	-6.530E-3
-500.000E-9	-5.500E-3
-1.694E-21	-3.610E-3
500.000E-9	-2.410E-3
1.000E-6	-340.000E-6
1.500E-6	1.720E-3
2.000E-6	3.620E-3
2.500E-6	5.520E-3
3.000E-6	6.560E-3
3.500E-6	8.460E-3
4.000E-6	10.370E-3
4.500E-6	12.270E-3
5.000E-6	13.490E-3
5.500E-6	15.400E-3
6.000E-6	17.310E-3
6.500E-6	19.230E-3
7.000E-6	20.450E-3
7.500E-6	22.360E-3
8.000E-6	24.280E-3
8.500E-6	26.200E-3
9.000E-6	28.120E-3
9.500E-6	29.170E-3
10.000E-6	31.090E-3
