Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 23.6	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-32.700E-3
-9.500E-6	-32.540E-3
-9.000E-6	-31.890E-3
-8.500E-6	-30.760E-3
-8.000E-6	-29.130E-3
-7.500E-6	-27.510E-3
-7.000E-6	-25.880E-3
-6.500E-6	-24.910E-3
-6.000E-6	-23.770E-3
-5.500E-6	-21.810E-3
-5.000E-6	-19.850E-3
-4.500E-6	-18.550E-3
-4.000E-6	-17.240E-3
-3.500E-6	-15.930E-3
-3.000E-6	-13.810E-3
-2.500E-6	-12.490E-3
-2.000E-6	-11.020E-3
-1.500E-6	-8.720E-3
-1.000E-6	-6.750E-3
-500.000E-9	-4.780E-3
-1.694E-21	-2.970E-3
500.000E-9	-1.320E-3
1.000E-6	320.000E-6
1.500E-6	1.970E-3
2.000E-6	3.620E-3
2.500E-6	5.280E-3
3.000E-6	6.930E-3
3.500E-6	8.590E-3
4.000E-6	9.580E-3
4.500E-6	11.410E-3
5.000E-6	12.570E-3
5.500E-6	14.560E-3
6.000E-6	15.890E-3
6.500E-6	17.890E-3
7.000E-6	19.220E-3
7.500E-6	21.220E-3
8.000E-6	23.220E-3
8.500E-6	25.060E-3
9.000E-6	26.890E-3
9.500E-6	27.890E-3
10.000E-6	29.060E-3
