Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 22.2	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.750E-3
-9.500E-6	-34.750E-3
-9.000E-6	-34.060E-3
-8.500E-6	-32.860E-3
-8.000E-6	-31.830E-3
-7.500E-6	-29.760E-3
-7.000E-6	-28.550E-3
-6.500E-6	-27.160E-3
-6.000E-6	-24.910E-3
-5.500E-6	-22.840E-3
-5.000E-6	-21.450E-3
-4.500E-6	-19.370E-3
-4.000E-6	-18.150E-3
-3.500E-6	-16.070E-3
-3.000E-6	-14.670E-3
-2.500E-6	-12.580E-3
-2.000E-6	-10.490E-3
-1.500E-6	-9.270E-3
-1.000E-6	-7.870E-3
-500.000E-9	-5.780E-3
-1.694E-21	-3.680E-3
500.000E-9	-1.580E-3
1.000E-6	340.000E-6
1.500E-6	2.100E-3
2.000E-6	3.850E-3
2.500E-6	5.610E-3
3.000E-6	7.370E-3
3.500E-6	8.430E-3
4.000E-6	10.370E-3
4.500E-6	12.310E-3
5.000E-6	13.540E-3
5.500E-6	15.660E-3
6.000E-6	17.610E-3
6.500E-6	19.550E-3
7.000E-6	21.500E-3
7.500E-6	23.270E-3
8.000E-6	24.340E-3
8.500E-6	26.290E-3
9.000E-6	28.240E-3
9.500E-6	29.490E-3
10.000E-6	30.910E-3
