Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 23.5	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-33.910E-3
-9.500E-6	-33.910E-3
-9.000E-6	-33.230E-3
-8.500E-6	-32.560E-3
-8.000E-6	-30.880E-3
-7.500E-6	-29.530E-3
-7.000E-6	-28.180E-3
-6.500E-6	-25.990E-3
-6.000E-6	-23.960E-3
-5.500E-6	-21.930E-3
-5.000E-6	-20.750E-3
-4.500E-6	-18.890E-3
-4.000E-6	-17.020E-3
-3.500E-6	-15.830E-3
-3.000E-6	-13.800E-3
-2.500E-6	-11.930E-3
-2.000E-6	-10.060E-3
-1.500E-6	-8.180E-3
-1.000E-6	-6.480E-3
-500.000E-9	-5.450E-3
-1.694E-21	-3.580E-3
500.000E-9	-1.700E-3
1.000E-6	-500.000E-6
1.500E-6	1.540E-3
2.000E-6	3.430E-3
2.500E-6	5.320E-3
3.000E-6	7.200E-3
3.500E-6	8.920E-3
4.000E-6	10.640E-3
4.500E-6	11.670E-3
5.000E-6	13.560E-3
5.500E-6	15.460E-3
6.000E-6	17.360E-3
6.500E-6	18.570E-3
7.000E-6	19.780E-3
7.500E-6	21.850E-3
8.000E-6	23.240E-3
8.500E-6	25.490E-3
9.000E-6	27.570E-3
9.500E-6	28.780E-3
10.000E-6	30.170E-3
