Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC2_LinewidthStrip
Temperature(C)= 22.0	Humidity(%)= 9.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-131.600E-3
-950.000E-6	-130.940E-3
-900.000E-6	-129.620E-3
-850.000E-6	-125.020E-3
-800.000E-6	-118.430E-3
-750.000E-6	-111.190E-3
-700.000E-6	-106.590E-3
-650.000E-6	-99.340E-3
-600.000E-6	-92.100E-3
-550.000E-6	-84.860E-3
-500.000E-6	-77.630E-3
-450.000E-6	-73.680E-3
-400.000E-6	-66.440E-3
-350.000E-6	-59.200E-3
-300.000E-6	-51.960E-3
-250.000E-6	-44.730E-3
-200.000E-6	-38.140E-3
-150.000E-6	-31.560E-3
-100.000E-6	-24.980E-3
-50.000E-6	-18.390E-3
0.000E+0	-11.810E-3
50.000E-6	-5.230E-3
100.000E-6	1.340E-3
150.000E-6	7.920E-3
200.000E-6	14.510E-3
250.000E-6	21.090E-3
300.000E-6	25.040E-3
350.000E-6	32.280E-3
400.000E-6	36.890E-3
450.000E-6	42.160E-3
500.000E-6	50.710E-3
550.000E-6	55.980E-3
600.000E-6	64.530E-3
650.000E-6	72.430E-3
700.000E-6	79.670E-3
750.000E-6	86.910E-3
800.000E-6	93.490E-3
850.000E-6	100.080E-3
900.000E-6	104.030E-3
950.000E-6	108.630E-3
1.000E-3	116.530E-3
